# worldX,worldZ,pool,size,name  (anchored villages + preloaded teleport stations)
12563,-3699,desert,huge,Baghdad
9564,-4633,savanna,huge,Rome
11240,-3096,savanna,huge,Alexandria
20385,-3499,plains,huge,Xian
11049,-4507,plains,huge,Istanbul
9368,-3894,savanna,huge,Carthage
21270,-3243,plains,huge,Nanjing
7864,-4417,savanna,large,Cordoba
11723,-3902,plains,large,Antioch
20866,-3568,plains,large,Kaifeng
18108,-2705,plains,large,Pataliputra
21227,-3873,plains,large,Linzi
19948,-3052,plains,large,Chengdu
19930,-1228,plains,large,Angkor
17569,-864,plains,large,Anuradhapura
12920,-3384,desert,large,Basra
20775,-4316,plains,large,Datong
10900,-4025,plains,large,Ephesus
20771,-2189,plains,large,Guangzhou
17514,-3022,plains,huge,Kanauji, Kanauj
11974,-1361,plains,large,Axum
8372,-1591,desert,large,Gao
9200,-1111,plains,large,Kano
11313,-1753,desert,large,Kush
12002,872,plains,large,Kilwa
-2820,-2092,plains,large,Teotihuacan
-1720,-2039,plains,large,Caracol
-1883,-4350,plains,large,Cahokia
118,1522,plains,large,Tiahuanaco
-615,1114,desert,large,Pachacamac
