lat,lon,ele_m,name
27.98806,86.92521,8849,珠穆朗玛峰 ཇོ་མོ་གླང་མ། सगरमाथा
27.98503,86.92516,8749,珠穆朗玛南峰 ཇོ་མོ་གླང་མལྷོ། सगरमाथा दक्षिण
35.88165,76.51347,8611,乔戈里峰 کے ٹو
27.70301,88.14748,8586,Kangchenjunga
27.96199,86.93250,8516,洛子峰 ལྷོ་རྩེ ल्होत्से
27.70517,88.13778,8505,Yalung Kang
27.89144,87.08844,8485,मकालु 马卡鲁峰
27.69228,88.15401,8476,Kangchenjunga South
27.69634,88.15083,8473,Kangchenjunga Central
27.96094,86.93097,8415,ल्होत्से नुप १
27.96068,86.93759,8410,洛子中一峰 ལྷོ་རྩེ་ཀྱི་༡ ल्होत्से मध्य १
27.95875,86.94376,8382,洛子东峰 ལྷོ་རྩེ་ཤར ल्होत्से शार
27.95992,86.93998,8372,洛子中二峰 ལྷོ་རྩེ་ཀྱི་༢
27.96428,86.93230,8275,洛子北一峰 ལྷོ་རྩེ་བྱང་༡
28.09675,86.65963,8201,चोयु ཇོ་བོ་དབུ་ཡ 卓奥友峰
28.69761,83.48949,8167,Dhaulagiri
28.54998,84.55973,8163,मनास्लु
35.23846,74.58954,8126,نانگا پربت
27.96801,86.93261,8117,洛子北二峰 ལྷོ་རྩེ་བྱང་༢
28.59581,83.81992,8091,अन्नपूर्ण
35.72468,76.69762,8080,加舒尔布鲁木第一峰 گاشر برم اول
35.81369,76.56556,8051,布洛阿特峰 بروڈ پیک
35.23434,74.58582,8042,Nanga Parbat South Peak
35.75773,76.65327,8034,加舒尔布鲁木第二峰 گاشر برم دوم
28.35176,85.78207,8027,希夏邦马峰 ཤིས་ས་སྤང་མ།
35.81967,76.56661,8011,布洛阿特中央峰
28.35551,85.77788,8008,希夏邦马中央峰ཤི་ཤ་སྦང་མ
28.55461,84.56238,7992,Manaslu East Pinnacle
28.35670,85.77240,7966,希夏邦马西
35.75973,76.64195,7952,گاشر برم سوم
28.09803,86.74484,7952,ग्याचुङ काङ 格重康峰
27.89087,87.10036,7950,马卡鲁东峰
27.95920,86.92305,7942,ल्होत्से नुप २
28.53497,84.12182,7937,अन्नपूर्णा II
35.76168,76.61636,7932,加舒尔布鲁木第四峰 گاشر برم چہارم
28.10665,86.68488,7916,俄宗巴岗 I (丹增峰)
35.24822,74.59252,7910,Nanga Parbat Northeast Peak
27.71670,88.11038,7903,Kangbachen
28.43773,84.63670,7893,Himachuli
36.32474,75.18840,7885,Distaghil Sar
28.50393,84.56725,7871,Ngadi Chuli
27.96737,86.88696,7864,नुप्त्से १
27.87949,87.09960,7860,马卡鲁东南峰
36.20556,75.20764,7852,Kunyang Chhish
27.96610,86.88909,7827,नुप्त्से २
35.64338,76.30810,7821,ماشربرم
30.37608,79.97012,7816,Nanda Devi
35.25680,74.58758,7816,Nanga Parbat North Peak
27.96440,86.89104,7815,नुप्त्से शार १
27.93008,87.10751,7804,珠穆隆索
36.51057,74.52310,7795,Batura Sar
27.96258,86.89385,7795,नुप्त्से शार २
36.14265,74.48837,7788,Rakaposhi
35.25881,74.59046,7785,Nanga Parbat North Peak II
29.63129,95.05491,7782,南迦巴瓦峰/གནམས་ལྕགས་འབར་བ་
27.68727,88.17391,7780,Zemu Gap Peak
27.96914,86.88189,7775,नुप्त्से नुप १
36.20517,75.41610,7760,Kanjut Sar I
35.75459,76.66795,7758,加舒尔布鲁木第二东峰
30.92014,79.59266,7756,Kamet
28.76316,83.38738,7751,Dhaulagiri II
28.53914,84.13700,7744,?
28.10560,86.70550,7743,俄宗巴岗 II
35.39956,76.84733,7742,萨尔托洛岗日峰 Saltoro Kangri
27.97280,86.87569,7732,नुप्त्से नुप २
28.75403,83.37714,7715,Dhaulagiri III
27.68396,88.04400,7711,Kumbhakarna (Jannu)
36.25786,71.85045,7708,ترچ میر
35.40607,76.84720,7705,Saltoro Kangri II
28.35647,85.80848,7703,摩拉门青峰
30.43847,81.29615,7694,纳木那尼峰 གནས་མོ་སྣ་གཉིས།
27.96021,86.91344,7686,नुप्त्से शार ३
27.91402,87.07986,7678,康雄策
34.86650,77.75227,7672,Saser Kangri I
35.61297,76.57397,7665,Chogolisa
28.10700,86.71410,7664,俄宗巴岗 III (希拉里峰)
28.73575,83.31438,7661,Dhaulagiri IV
38.59452,75.31514,7649,公格尔峰 قوڭۇر تاغ / قوڭۇر توو
28.57830,83.80072,7647,Annapurna Fang
38.59695,75.32128,7625,公格尔东北峰
28.73406,83.36058,7616,Dhaulagiri V
36.43984,74.68066,7611,Shispare
35.26289,74.60895,7597,Nanga Parbat East Peak
27.95563,86.96514,7591,夏子一峰 ཤར་རྩེ་༡ शारत्से १
36.28841,75.07719,7577,Trivor
28.04729,90.45488,7570,岗嘎本松峰 གངས་དཀར་སྤུན་གསུམ་
27.94429,87.10028,7565,拉玛朗卓
28.58535,83.98911,7555,अन्नपूर्णा III
35.92408,76.56451,7545,斯坎格里峰 سکیانگ کنگری
28.02433,86.91519,7543,章子峰 བྱང་རྩེ
28.02632,86.90934,7541,章子西峰 བྱང་རྩེ་ནུབ
28.22731,90.61526,7538,库拉岗日 I
28.06440,90.44246,7535,良岗岗日
35.25919,74.61285,7530,Nanga Parbat Southeast Peak
36.25921,75.37588,7530,Yukshin Gardan Sar
38.61650,75.19581,7530,公格尔九别峰
28.53689,84.08356,7525,अन्नपूर्णा IV
35.14215,77.57739,7516,Mamostong Kangri
34.80448,77.80540,7513,Saser Kangri II
38.27611,75.11589,7509,慕士塔格峰
29.59585,101.87906,7509,贡嘎山
34.84480,77.78457,7495,Saser Kangri III
38.94301,72.01559,7495,Қуллаи Исмоили Сомонӣ
36.43297,71.83026,7492,نوشاخ
36.22640,75.25932,7492,Peak 11
35.83209,76.55635,7490,Broad Peak North
28.33396,85.79416,7486,彭巴日峰
28.61081,83.86290,7485,Khangsar Kang
28.73614,83.35058,7480,?
36.48690,74.59319,7478,Passu Sar
35.58010,77.07854,7462,特拉木坎力峰 I / Teram Kangri I
27.88160,88.13497,7462,琼桑峰 Jongsong Peak
27.68801,88.05954,7460,Kumbhakarna East
36.00287,74.87599,7458,Malubiting
27.94967,86.98338,7457,夏子二峰 ཤར་རྩེ་༢ शारत्से २
28.60565,83.96351,7455,Gangapurna
36.50346,74.55694,7453,Muchu Chhish
36.26152,71.83028,7450,Tirich Mir West III
36.26185,71.85762,7450,?
27.68758,88.04964,7450,?
35.66295,76.76121,7442,锡亚康戈里峰 سیا کانگری
42.03502,80.12951,7439,托木尔峰 - Жеңиш чокусу - تۆمۈر چوققىسى
30.36477,79.99658,7434,Nanda Devi East
35.29545,77.02187,7428,K12
28.39172,85.12704,7422,央然康日峰
28.22704,90.62840,7418,库拉岗日 II
34.87386,77.73534,7415,Saser Kangri IV
27.63500,88.11833,7412,Kabru North
35.85252,76.42703,7410,斯吉尔布鲁木峰 سکل برم
35.57105,77.08756,7407,Teram Kangri II/特拉木坎力峰 Ⅱ
36.37729,71.89751,7403,استور و نل
35.51783,76.80012,7401,Ghent Kangri
35.84064,74.89761,7397,Haramosh
36.39099,74.71650,7388,Ultar Peak
35.35457,77.36829,7385,Rimo I
28.73503,83.21810,7385,?
28.23215,90.63967,7381,库拉岗日 III
35.47222,76.78437,7380,Sherpi Kangri
35.60029,77.05110,7380,Teram Kangri III/特拉木坎力峰 Ⅲ
28.73192,83.20979,7371,?
28.74271,83.22885,7371,?
28.30335,86.34888,7367,拉布吉康峰
28.37159,85.77505,7365,野博康加日峰
27.79146,88.19714,7362,Kirat Chuli
30.93179,79.59998,7355,Abi Gamin
27.61854,88.12330,7353,Kabru Central
28.07310,86.61266,7350,Cho Aui I
